"LocationName","ObservationTime","Temperature","FeelsLike","Dewpoint","WindSpeed","WindGust","BaroPressure","Visibility","Humidity","WindDirection","Precipitation","PrecipitationType"
"Stare Miasto","2020-08-15T00:00","18.0","18.0","12.0","3.6","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T00:30","18.0","18.0","12.0","4.1","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T01:00","17.0","17.0","12.0","3.1","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T01:30","17.0","17.0","12.0","3.1","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T02:00","16.0","16.0","12.0","3.1","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T02:30","15.0","15.0","12.0","3.1","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T03:00","15.0","15.0","12.0","2.6","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T03:30","15.0","15.0","11.0","3.1","0.0","1014.0","10.0","0.0","50.0","0.0","none"
"Stare Miasto","2020-08-15T04:00","15.0","15.0","11.0","2.1","0.0","1014.0","10.0","0.0","50.0","0.0","none"
"Stare Miasto","2020-08-15T04:30","15.0","15.0","12.0","2.1","0.0","1014.0","10.0","0.0","50.0","0.0","none"
"Stare Miasto","2020-08-15T05:00","16.0","16.0","12.0","2.57","0.0","1013.9168","9.99","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T05:30","17.0","17.0","12.0","3.1","0.0","1014.0","10.0","0.0","40.0","0.0","none"
"Stare Miasto","2020-08-15T06:00","18.0","18.0","13.0","4.12","0.0","1013.9168","9.99","0.0","60.0","0.0","none"
"Stare Miasto","2020-08-15T06:30","18.0","18.0","13.0","3.6","0.0","1014.0","10.0","0.0","60.0","0.0","none"
"Stare Miasto","2020-08-15T07:00","19.0","19.0","13.0","3.6","0.0","1014.0","10.0","0.0","60.0","0.0","none"
"Stare Miasto","2020-08-15T07:30","20.0","20.0","13.0","2.6","0.0","1014.0","10.0","0.0","80.0","0.0","none"
"Stare Miasto","2020-08-15T08:00","22.0","22.0","13.0","3.6","0.0","1015.0","10.0","0.0","70.0","0.0","none"
"Stare Miasto","2020-08-15T08:30","23.0","23.0","13.0","4.1","0.0","1015.0","10.0","0.0","60.0","0.0","none"
"Stare Miasto","2020-08-15T09:00","23.0","23.0","13.0","3.6","0.0","1014.0","10.0","0.0","60.0","0.0","none"
